iter	RMSE
171	4.172699572
172	4.148754692
173	4.143405202
174	4.111314571
175	4.08758194
176	4.080077098
177	4.049920915
178	4.044797898
179	4.041023007
180	4.033425811
181	4.010685949
182	4.004013169
183	3.992515089
184	3.964467299
185	3.92582343
186	3.901304016
187	3.874188443
188	3.847981582
189	3.816555422
190	3.791294298
191	3.76637081
192	3.762874749
193	3.736020414
194	3.710287441
195	3.688116393
196	3.662734412
197	3.652882817
198	3.632513086
199	3.610846941
200	3.605515322
201	3.576674337
202	3.567374416
203	3.5452251
204	3.523179702
205	3.489581874
206	3.48082797
207	3.456319966
208	3.435679669
209	3.427904401
210	3.425699714
211	3.402544773
212	3.375493143
213	3.367688933
214	3.346855229
215	3.326360204
216	3.302727333
217	3.299055197
218	3.29257814
219	3.290071575
220	3.267668853
221	3.247216516
222	3.245253083
223	3.224934029
224	3.221832214
225	3.215839877
226	3.195679293
227	3.19415963
228	3.176146292
229	3.158001551
230	3.14070236
231	3.139080799
232	3.138538035
233	3.114232823
234	3.096121441
235	3.079317391
236	3.061761618
237	3.035770353
238	3.03253288
239	3.011732756
240	2.989186744
241	2.967147925
242	2.952440071
243	2.930090955
244	2.925475597
245	2.906154826
246	2.901548574
247	2.880782963
248	2.85880623
249	2.841341662
250	2.838849826
251	2.819431572
252	2.803312282
253	2.787472549
254	2.774428743
255	2.753366221
256	2.733092796
257	2.712461548
258	2.694514506
259	2.682228394
260	2.678207328
261	2.676036552
262	2.657376252
263	2.65361658
264	2.65250901
265	2.650826349
266	2.64976637
267	2.633462275
268	2.632445828
269	2.621367968
270	2.618005385
271	2.605477454
272	2.594487742
273	2.579234033
274	2.56889954
275	2.550766578
276	2.547686496
277	2.537761899
278	2.527066534
279	2.507021451
280	2.506045768
281	2.494778922
282	2.481196675
283	2.470206755
284	2.459336216
285	2.446369266
286	2.444855498
287	2.441906238
288	2.431960996
289	2.429365908
290	2.419763196
291	2.41108671
292	2.398915867
293	2.396488746
294	2.378536295
295	2.365579279
296	2.363244429
297	2.351644108
298	2.337334828
299	2.32102947
300	2.312068695
301	2.309716328
302	2.300728482
303	2.292325678
304	2.28556176
305	2.278325609
306	2.268279658
307	2.260479727
308	2.248606023
309	2.233142882
310	2.226500869
311	2.216595971
312	2.20519873
313	2.199069272
314	2.19267493
315	2.186594795
316	2.185329653
317	2.176115048
318	2.17001236
319	2.163618578
320	2.151187683
321	2.136726984
322	2.125658566
323	2.123797997
324	2.111903346
325	2.09933234
326	2.087214561
327	2.076477747
328	2.065009291
329	2.060256786
330	2.049946494
331	2.048155165
332	2.046123891
333	2.036021824
334	2.02399626
335	2.016084455
336	2.008156636
337	1.995113204
338	1.994144683
339	1.989502515
340	1.978831045
341	1.970099035
342	1.960266933
343	1.949100712
344	1.945077045
345	1.934704256
346	1.930688394
347	1.92680055
348	1.922415392
349	1.915639573
350	1.911585558
351	1.904895805
352	1.900847683
353	1.891228017
354	1.887824863
355	1.878274255
356	1.874687509
357	1.865290025
358	1.855722091
359	1.84966389
360	1.846751683
361	1.838257249
362	1.83130553
363	1.822378682
364	1.813234656
365	1.809727465
366	1.801113737
367	1.791139972
368	1.782372439
369	1.776842531
370	1.774373826
371	1.76616873
372	1.757563004
373	1.747914148
374	1.742411972
375	1.734137282
376	1.724620282
377	1.719663326
378	1.7118052
379	1.706074532
380	1.697972439
381	1.690281854
382	1.687961638
383	1.680508848
384	1.673138959
385	1.665694834
386	1.658369235
387	1.656297831
388	1.64973585
389	1.643175556
390	1.636612343
391	1.629884184
392	1.622928657
393	1.621267488
394	1.613241404
395	1.612418138
396	1.605627946
397	1.601020263
398	1.598968651
399	1.597246753
400	1.592124134
401	1.588237135
402	1.586693026
403	1.581059077
404	1.574586941
405	1.573043763
406	1.571209471
407	1.564719745
408	1.563362925
409	1.561968964
410	1.557988187
411	1.556772984
412	1.552873983
413	1.547283515
414	1.542316238
415	1.538567361
416	1.532445352
417	1.526298354
418	1.524949812
419	1.519321486
420	1.516347779
421	1.510960976
422	1.507390658
423	1.50208317
424	1.492708751
425	1.491774191
426	1.488270943
427	1.487201735
428	1.480794826
429	1.475085953
430	1.469511529
431	1.463469987
432	1.462716215
433	1.461556939
434	1.456707596
435	1.455771637
436	1.45049812
437	1.444854528
438	1.44374231
439	1.440381776
440	1.435838464
441	1.435155402
442	1.431745021
443	1.428983517
444	1.42620125
445	1.423113849
446	1.422246214
447	1.41922236
448	1.416307016
449	1.411887399
450	1.407427303
451	1.398049381
452	1.397362172
453	1.39307951
454	1.390197755
455	1.385960418
456	1.381918691
457	1.376559972
458	1.371752197
459	1.366607099
460	1.361225438
461	1.358693867
462	1.354801697
463	1.352044074
464	1.347425973
465	1.344944039
466	1.340103723
467	1.337378998
468	1.332298347
469	1.329536482
470	1.324642281
471	1.320864895
472	1.317210488
473	1.31463139
474	1.311982593
475	1.309389964
476	1.308790077
477	1.306309681
478	1.300979902
479	1.300461044
480	1.296208873
481	1.291834338
482	1.289245782
483	1.285038329
484	1.280787011
485	1.272857676
486	1.269563335
487	1.266517257
488	1.263210436
489	1.26271237
490	1.260239008
491	1.256268681
492	1.251675521
493	1.247197786
494	1.244515677
495	1.241006625
496	1.236777955
497	1.234299261
498	1.232156566
499	1.231682392
500	1.229107405
501	1.226159692
502	1.223138585
503	1.221017799
504	1.218104767
505	1.214422937
506	1.212401861
507	1.210054816
508	1.209642338
509	1.205508474
510	1.203513848
511	1.20120807
512	1.198420996
513	1.194511877
514	1.192229804
515	1.191802348
516	1.189217208
517	1.185482861
518	1.182249211
519	1.178232846
520	1.174381153
521	1.171829024
522	1.169500019
523	1.167556582
524	1.165612366
525	1.162468882
526	1.158643099
527	1.156233056
528	1.155758345
529	1.14865085
530	1.146241833
531	1.14442807
532	1.141945018
533	1.139442019
534	1.137106755
535	1.135071512
536	1.133253602
537	1.132798214
538	1.129155794
539	1.12716901
540	1.125209994
541	1.124895163
542	1.122678617
543	1.120863196
544	1.119050751
545	1.117265438
546	1.114479135
547	1.110921923
548	1.110625002
549	1.108889786
550	1.107195918
551	1.106836892
552	1.104253693
553	1.102293237
554	1.099729213
555	1.097229215
556	1.095460677
557	1.090613279
558	1.087958664
559	1.082132685
560	1.08049199
561	1.078500055
562	1.076524376
563	1.074629449
564	1.071264726
565	1.068887075
566	1.065445498
567	1.062425882
568	1.060586265
569	1.058793668
570	1.056904016
571	1.055123731
572	1.053250653
573	1.051511292
574	1.04773294
575	1.046001788
576	1.044357396
577	1.042538584
578	1.040818294
579	1.039127168
580	1.032965114
581	1.02982999
582	1.023805851
583	1.020914018
584	1.017887192
585	1.014970451
586	1.012042982
587	1.009882539
588	1.007361288
589	1.005776932
590	1.004193144
591	1.001348259
592	0.9992905185
593	0.9975035315
594	0.9959426325
595	0.9944552702
596	0.9917400225
597	0.9901067266
598	0.9886492833
599	0.9872173421
600	0.9845669879
601	0.9833249843
602	0.9806529011
603	0.9781422458
604	0.9764025952
605	0.9750508766
606	0.9736813454
607	0.9720359517
608	0.9696165158
609	0.968077238
610	0.9669229245
611	0.9645288037
612	0.9630189359
613	0.9608415735
614	0.960405787
615	0.9578228274
616	0.9552890441
617	0.9528731096
618	0.9462913466
619	0.9442864873
620	0.9419462885
621	0.9404379657
622	0.9380976542
623	0.9366116354
624	0.9343294638
625	0.9331184236
626	0.9316448445
627	0.9295042806
628	0.9276029872
629	0.9264663084
630	0.9250796524
631	0.9236238461
632	0.9219727053
633	0.9208070445
634	0.91970795
635	0.9186049384
636	0.9169631176
637	0.911750417
638	0.9101428324
639	0.9099182889
640	0.9077027899
641	0.9060888202
642	0.9039956724
643	0.9024918073
644	0.9010988864
645	0.8984613791
646	0.8982486271
647	0.8960966473
648	0.8945540056
649	0.8928166584
650	0.889602641
651	0.8876402637
652	0.885620745
653	0.883731888
654	0.8823789325
655	0.8804018671
656	0.8794402506
657	0.8780602622
658	0.876172375
659	0.8742846186
660	0.8729410888
661	0.8727031338
662	0.8724871682
663	0.8710373533
664	0.8701008513
665	0.8654068821
666	0.8644928203
667	0.8629726555
668	0.862068819
669	0.8607888574
670	0.8595153369
671	0.8592757508
672	0.8545201143
673	0.8531455699
674	0.8522538939
675	0.8476324137
676	0.8462392442
677	0.8453696216
678	0.8445092759
679	0.8425771171
680	0.8423122352
681	0.8408670645
682	0.8362181009
683	0.8360163743
684	0.8348119738
685	0.8339643375
686	0.8336217179
687	0.8327039684
688	0.8318226956
689	0.8307592272
690	0.8290898857
691	0.8277271072
692	0.8273382157
693	0.8270684081
694	0.8253103051
695	0.823689787
696	0.8229419754
697	0.8222014445
698	0.8202470818
699	0.8190321127
700	0.8178541444
701	0.8171164437
702	0.815452686
703	0.8109424326
704	0.8095442336
705	0.8080123272
706	0.8065565988
707	0.8058623757
708	0.8055079976
709	0.804303261
710	0.8027982387
711	0.8018984424
712	0.8012409595
713	0.8002359881
714	0.7992279404
715	0.7968768696
716	0.7955192597
717	0.7949022621
718	0.7935461962
719	0.7923297755
720	0.7909010733
721	0.7896906094
722	0.7890893696
723	0.7867098534
724	0.7853639606
725	0.784882938
726	0.7843175496
727	0.7835629921
728	0.7832614249
729	0.7820316338
730	0.7800972924
731	0.7787690308
732	0.7782164654
733	0.7771767424
734	0.7759421962
735	0.7754531625
736	0.7741303002
737	0.7736015619
738	0.7724508505
739	0.7722438882
740	0.7718518177
741	0.7713325318
742	0.7671303642
743	0.7659532024
744	0.7646478001
745	0.7641367595
746	0.7636353292
747	0.7625065523
748	0.7613069513
749	0.7588722401
750	0.7577475664
751	0.7572066896
752	0.7553049173
753	0.7541987319
754	0.7529888994
755	0.7525493007
756	0.7525117648
757	0.7513345556
758	0.7502209096
759	0.7497409434
760	0.7478136724
761	0.7474767471
762	0.7435195495
763	0.7424704132
764	0.7422438721
765	0.7417639347
766	0.7406716696
767	0.7397991462
768	0.7393406785
769	0.7382123485
770	0.7371030206
771	0.7358908932
772	0.734875283
773	0.7338055238
774	0.7299262671
775	0.7294320072
776	0.7282685895
777	0.728027988
778	0.727264796
779	0.7269193526
780	0.7259458099
781	0.7248422434
782	0.7245050652
783	0.7240860138
784	0.7230783083
785	0.7215831954
786	0.7199012951
787	0.7197798519
788	0.7187387503
789	0.717789407
790	0.7171941659
791	0.716372931
792	0.7147311408
793	0.713823816
794	0.7122111964
795	0.7113006533
796	0.7103799647
797	0.7094612376
798	0.7085678195
799	0.7074673073
800	0.7068101675
801	0.7061926748
802	0.7057902722
803	0.7051357433
804	0.7046997824
805	0.7037692072
806	0.7001534657
807	0.6992733529
808	0.6987365662
809	0.6982735367
810	0.697344202
811	0.6969846333
812	0.6960741058
813	0.6944217085
814	0.6940465453
815	0.6931898876
816	0.6925198114
817	0.6921478713
818	0.6917645099
819	0.690893734
820	0.6903816356
821	0.6891384235
822	0.688865135
823	0.687278288
824	0.6864725379
825	0.6854848606
826	0.6846137917
827	0.6830801813
828	0.6828080738
829	0.6822841979
830	0.6819104149
831	0.681224413
832	0.6805576942
833	0.6802401419
834	0.6794814357
835	0.6791753562
836	0.6788496386
837	0.6783917827
838	0.6775103117
839	0.6770739071
840	0.6762420793
841	0.6746871857
842	0.6742434009
843	0.6732269711
844	0.6729362717
845	0.6725054273
846	0.6716454617
847	0.6700607241
848	0.6693580414
849	0.6689483313
850	0.6682584697
851	0.6656286846
852	0.6653460307
853	0.665033151
854	0.6646323861
855	0.6641633029
856	0.6637757826
857	0.6622673546
858	0.6618828679
859	0.661028244
860	0.6608447923
861	0.6600333008
862	0.6593732428
863	0.6586807382
864	0.6577665651
865	0.6574997614
866	0.6568567978
867	0.6566134749
868	0.656140092
869	0.6558303088
870	0.6550028478
871	0.654923783
872	0.6547127974
873	0.6540846917
874	0.6537474325
875	0.6530856883
876	0.6515739031
877	0.650980273
878	0.6503927148
879	0.6501427673
880	0.6499183384
881	0.6495746118
882	0.6493735809
883	0.649335211
884	0.6490187813
885	0.6482011267
886	0.6479297012
887	0.6453951752
888	0.64504429
889	0.6449608369
890	0.6447686417
891	0.6439724642
892	0.6426951119
893	0.6419175866
894	0.6416978574
895	0.6413479929
896	0.6410543351
897	0.6407732086
898	0.6402299314
899	0.6394611211
900	0.6389395561
901	0.6385151456
902	0.638124579
903	0.6378322782
904	0.6376343835
905	0.6368651769
906	0.6366193109
907	0.6360963067
908	0.6343441771
909	0.6340645132
910	0.6339942592
911	0.6332834836
912	0.6326459099
913	0.6325801489
914	0.6323039192
915	0.6319658055
916	0.6315790771
917	0.6315477062
918	0.6309740975
919	0.6307159536
920	0.630444671
921	0.6289497832
922	0.6284963624
923	0.6259521343
924	0.6257980599
925	0.6243511065
926	0.6241753892
927	0.6240247849
928	0.6235646208
929	0.6233193331
930	0.6229853302
931	0.6224494422
932	0.6221536924
933	0.6216984118
934	0.6205680942
935	0.6205174926
936	0.6202769205
937	0.6201519989
938	0.6199106713
939	0.6197015397
940	0.6195429186
941	0.6184272865
942	0.6180234107
943	0.6178843516
944	0.6164010804
945	0.6160543872
946	0.6158964334
947	0.6153075736
948	0.6151787457
949	0.6144477055
950	0.6141228486
951	0.6137124547
952	0.6129894533
953	0.6128332113
954	0.6125119915
955	0.6121983613
956	0.6120435145
957	0.6118928738
958	0.6117025066
959	0.6114006368
960	0.6103200784
961	0.6099058977
962	0.6076033277
963	0.6074129222
964	0.6072909835
965	0.6058584727
966	0.6056710262
967	0.6055478491
968	0.6048478542
969	0.6046623196
970	0.6045235452
971	0.6042968158
972	0.6039092136
973	0.6038864233
974	0.6035088167
975	0.6024468063
976	0.6023365076
977	0.6001212394
978	0.5994492646
979	0.5993357073
980	0.5986738287
981	0.5984985063
982	0.5978373236
983	0.5976285381
984	0.5974231922
985	0.5971862691
986	0.5970011331
987	0.5968732008
988	0.5966779817
989	0.596554733
990	0.5950510197
991	0.59473637
992	0.5946271468
993	0.5944665549
994	0.5930509397
995	0.5921220571
996	0.5906535634
997	0.5903174727
998	0.5901567669
999	0.5901045012
