ds,y
2009-06-30,0.0625
2009-09-30,0.0625
2009-12-31,0.0625
2010-03-31,0.0625
2010-06-30,0.06
2010-09-30,0.06
2010-12-31,0.055
2011-03-31,0.055
2011-06-30,0.0525
2011-09-30,0.0525
2011-12-31,0.0525
2012-03-31,0.0525
2012-06-30,0.0525
2012-09-30,0.0525
2012-12-31,0.0525
2013-03-31,0.0525
2013-06-30,0.0525
2013-09-30,0.0525
2013-12-31,0.0525
2014-03-31,0.0525
2014-06-30,0.05
2014-09-30,0.05
2014-12-31,0.05
